Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,0.44693877551020406,0.3948051948051948,1.0,FeTrIL
All Exemplars,0.21769911504424777,0.3111111111111111,1.0,FeTrIL
All Exemplars,0.3858585858585859,0.248,1.0,FeTrIL
All Exemplars,0.1586776859504132,0.19220779220779222,1.0,FeTrIL
All Exemplars,0.1879310344827586,0.5235294117647059,0.4,FeTrIL
All Exemplars,0.4170212765957446,0.11081081081081079,1.0,FeTrIL
All Exemplars,0.2252252252252252,0.09599999999999999,1.0,FeTrIL
All Exemplars,0.37586206896551727,0.2345679012345679,1.0,FeTrIL
All Exemplars,0.41318681318681316,0.24225352112676052,1.0,FeTrIL
All Exemplars,0.2059259259259259,0.10512820512820509,1.0,FeTrIL
All Exemplars,0.16637168141592912,0.34285714285714286,1.0,FeTrIL
All Exemplars,0.3650485436893204,0.17922077922077922,1.0,FeTrIL
All Exemplars,0.3044776119402985,0.0243243243243243,1.0,FeTrIL
All Exemplars,0.13483146067415727,0.0,1.0,FeTrIL
All Exemplars,0.37431192660550466,0.48064516129032253,0.8,FeTrIL
All Exemplars,0.6188034188034187,0.09850746268656714,1.0,FeTrIL
All Exemplars,0.21296296296296294,0.12647058823529408,1.0,FeTrIL
All Exemplars,0.29465648854961835,0.1783783783783784,1.0,FeTrIL
All Exemplars,0.13391304347826083,0.2,1.0,FeTrIL
All Exemplars,0.19814814814814813,0.2746666666666666,0.8,FeTrIL
All Exemplars,0.22241379310344822,0.12340425531914893,1.0,FeTrIL
All Exemplars,0.28363636363636363,0.37058823529411766,1.0,FeTrIL
All Exemplars,0.34081632653061217,0.2117647058823529,0.8,FeTrIL
All Exemplars,0.18913043478260866,0.19230769230769226,1.0,FeTrIL
All Exemplars,0.28623853211009176,0.2675324675324675,1.0,FeTrIL
All Exemplars,0.2298507462686567,0.35806451612903223,1.0,FeTrIL
All Exemplars,0.22105263157894733,0.20512820512820512,0.8,FeTrIL
All Exemplars,0.15957446808510634,0.2028571428571428,0.8,FeTrIL
All Exemplars,0.31607142857142856,0.14246575342465753,1.0,FeTrIL
All Exemplars,0.06268656716417907,0.304,0.6,FeTrIL
All Exemplars,0.9326530612244897,0.9636363636363636,0.9875,DDGR
All Exemplars,0.9663716814159292,0.7740740740740741,0.9875,DDGR
All Exemplars,0.9494949494949495,0.9800000000000001,0.9939393939393939,DDGR
All Exemplars,0.9454545454545455,0.9584415584415584,1.0,DDGR
All Exemplars,0.953448275862069,0.9647058823529411,1.0,DDGR
All Exemplars,0.9234042553191492,0.9513513513513514,1.0,DDGR
All Exemplars,0.9513513513513514,0.952,0.9898305084745763,DDGR
All Exemplars,0.85,0.9654320987654319,0.9657142857142856,DDGR
All Exemplars,0.9032967032967033,0.923943661971831,1.0,DDGR
All Exemplars,0.8977777777777778,0.9487179487179487,0.9875,DDGR
All Exemplars,0.95929203539823,0.9142857142857143,0.9932203389830508,DDGR
All Exemplars,0.9339805825242721,0.9558441558441558,0.9898305084745763,DDGR
All Exemplars,0.9552238805970148,0.8621621621621621,0.9609756097560977,DDGR
All Exemplars,0.8404494382022472,0.9458333333333335,0.9473684210526316,DDGR
All Exemplars,0.8495412844036698,0.9548387096774196,0.9939393939393939,DDGR
All Exemplars,0.9452991452991453,0.9552238805970148,0.9878787878787879,DDGR
All Exemplars,0.9296296296296298,0.9647058823529413,0.9864406779661017,DDGR
All Exemplars,0.932824427480916,0.9594594594594594,0.9722222222222221,DDGR
All Exemplars,0.9182608695652175,0.9261538461538462,1.0,DDGR
All Exemplars,0.9351851851851851,0.952,0.99375,DDGR
All Exemplars,0.9517241379310345,0.9446808510638298,1.0,DDGR
All Exemplars,0.9545454545454545,0.9205882352941177,0.9898305084745763,DDGR
All Exemplars,0.9632653061224488,0.9264705882352944,0.975,DDGR
All Exemplars,0.9043478260869566,0.9666666666666668,1.0,DDGR
All Exemplars,0.9651376146788992,0.9714285714285713,0.968421052631579,DDGR
All Exemplars,0.7955223880597015,0.9612903225806454,0.9542857142857143,DDGR
All Exemplars,0.9403508771929825,0.9666666666666668,0.975,DDGR
All Exemplars,0.946808510638298,0.9485714285714286,1.0,DDGR
All Exemplars,0.9392857142857143,0.9671232876712329,0.9666666666666666,DDGR
All Exemplars,0.7955223880597015,0.9466666666666667,0.975,DDGR
All Exemplars,0.9306122448979594,0.9532467532467532,0.98125,VAE_BBox
All Exemplars,0.9610619469026549,0.8074074074074075,1.0,VAE_BBox
All Exemplars,0.9414141414141415,0.974,1.0,VAE_BBox
All Exemplars,0.9404958677685951,0.9584415584415584,0.9939393939393939,VAE_BBox
All Exemplars,0.9448275862068968,0.9676470588235293,0.9904761904761905,VAE_BBox
All Exemplars,0.925531914893617,0.9405405405405407,1.0,VAE_BBox
All Exemplars,0.9477477477477478,0.9653333333333334,0.9966101694915255,VAE_BBox
All Exemplars,0.8603448275862069,0.9728395061728394,1.0,VAE_BBox
All Exemplars,0.9274725274725275,0.9126760563380282,0.9949999999999999,VAE_BBox
All Exemplars,0.9066666666666666,0.9538461538461538,0.99375,VAE_BBox
All Exemplars,0.9575221238938052,0.9214285714285714,0.9966101694915255,VAE_BBox
All Exemplars,0.9300970873786409,0.9584415584415584,0.9864406779661017,VAE_BBox
All Exemplars,0.9611940298507463,0.9,1.0,VAE_BBox
All Exemplars,0.849438202247191,0.9583333333333333,0.9789473684210526,VAE_BBox
All Exemplars,0.886238532110092,0.9645161290322581,0.9939393939393939,VAE_BBox
All Exemplars,0.9401709401709402,0.9582089552238806,0.9818181818181818,VAE_BBox
All Exemplars,0.9185185185185185,0.9588235294117646,0.9932203389830508,VAE_BBox
All Exemplars,0.9358778625954198,0.9459459459459459,0.9722222222222223,VAE_BBox
All Exemplars,0.9356521739130436,0.9476923076923078,1.0,VAE_BBox
All Exemplars,0.9425925925925925,0.9333333333333332,1.0,VAE_BBox
All Exemplars,0.9413793103448278,0.9446808510638298,0.9949999999999999,VAE_BBox
All Exemplars,0.9563636363636364,0.9294117647058826,0.9864406779661017,VAE_BBox
All Exemplars,0.9489795918367345,0.9264705882352942,1.0,VAE_BBox
All Exemplars,0.9,0.9589743589743589,0.9949999999999999,VAE_BBox
All Exemplars,0.9596330275229358,0.9610389610389609,0.9842105263157895,VAE_BBox
All Exemplars,0.8164179104477614,0.9645161290322581,1.0,VAE_BBox
All Exemplars,0.936842105263158,0.9641025641025642,0.9875,VAE_BBox
All Exemplars,0.9617021276595746,0.9514285714285714,1.0,VAE_BBox
All Exemplars,0.9464285714285714,0.9698630136986303,0.9833333333333334,VAE_BBox
All Exemplars,0.817910447761194,0.9840000000000002,0.99375,VAE_BBox
All Exemplars,0.9326530612244899,0.9532467532467532,0.99375,VAE_Filter
All Exemplars,0.9628318584070797,0.7925925925925927,0.99375,VAE_Filter
All Exemplars,0.9353535353535353,0.97,0.9878787878787879,VAE_Filter
All Exemplars,0.9404958677685951,0.9636363636363636,1.0,VAE_Filter
All Exemplars,0.953448275862069,0.95,0.980952380952381,VAE_Filter
All Exemplars,0.9148936170212767,0.9405405405405405,0.9949999999999999,VAE_Filter
All Exemplars,0.954954954954955,0.9786666666666669,0.9898305084745763,VAE_Filter
All Exemplars,0.8672413793103448,0.9777777777777779,0.9885714285714287,VAE_Filter
All Exemplars,0.9054945054945055,0.9295774647887324,1.0,VAE_Filter
All Exemplars,0.9066666666666666,0.9666666666666668,1.0,VAE_Filter
All Exemplars,0.9575221238938054,0.9214285714285714,0.9898305084745763,VAE_Filter
All Exemplars,0.9300970873786408,0.9714285714285713,0.9966101694915255,VAE_Filter
All Exemplars,0.9597014925373134,0.9000000000000001,0.9951219512195122,VAE_Filter
All Exemplars,0.8269662921348315,0.94375,0.9842105263157895,VAE_Filter
All Exemplars,0.8770642201834864,0.970967741935484,0.9939393939393939,VAE_Filter
All Exemplars,0.9333333333333333,0.9522388059701491,0.9818181818181818,VAE_Filter
All Exemplars,0.9314814814814815,0.95,0.9898305084745763,VAE_Filter
All Exemplars,0.9343511450381679,0.9405405405405407,0.9833333333333334,VAE_Filter
All Exemplars,0.9147826086956522,0.9446153846153846,1.0,VAE_Filter
All Exemplars,0.9296296296296296,0.9359999999999999,0.9875,VAE_Filter
All Exemplars,0.9448275862068968,0.9425531914893618,0.9949999999999999,VAE_Filter
All Exemplars,0.9490909090909092,0.9264705882352942,0.9932203389830508,VAE_Filter
All Exemplars,0.9510204081632653,0.9176470588235294,0.96875,VAE_Filter
All Exemplars,0.8891304347826088,0.9615384615384615,1.0,VAE_Filter
All Exemplars,0.9541284403669724,0.9532467532467532,0.9789473684210528,VAE_Filter
All Exemplars,0.8044776119402985,0.9645161290322581,0.9942857142857143,VAE_Filter
All Exemplars,0.9333333333333333,0.9512820512820512,0.99375,VAE_Filter
All Exemplars,0.9659574468085108,0.9371428571428572,1.0,VAE_Filter
All Exemplars,0.9589285714285716,0.9698630136986303,0.9777777777777779,VAE_Filter
All Exemplars,0.7985074626865672,0.9840000000000002,0.99375,VAE_Filter
All Exemplars,0.9244897959183674,0.961038961038961,0.98125,VAE_GMM
All Exemplars,0.9646017699115046,0.8370370370370372,0.9875,VAE_GMM
All Exemplars,0.9313131313131311,0.9800000000000001,1.0,VAE_GMM
All Exemplars,0.9404958677685951,0.961038961038961,1.0,VAE_GMM
All Exemplars,0.9517241379310345,0.9705882352941175,1.0,VAE_GMM
All Exemplars,0.9170212765957446,0.9567567567567566,1.0,VAE_GMM
All Exemplars,0.9297297297297298,0.9786666666666669,0.9966101694915255,VAE_GMM
All Exemplars,0.8655172413793103,0.9728395061728394,0.9942857142857143,VAE_GMM
All Exemplars,0.9274725274725274,0.9211267605633802,1.0,VAE_GMM
All Exemplars,0.9259259259259262,0.9641025641025642,1.0,VAE_GMM
All Exemplars,0.9646017699115046,0.9178571428571427,0.9966101694915255,VAE_GMM
All Exemplars,0.9320388349514565,0.9584415584415584,0.9966101694915255,VAE_GMM
All Exemplars,0.9611940298507463,0.8918918918918919,1.0,VAE_GMM
All Exemplars,0.8516853932584271,0.9583333333333334,1.0,VAE_GMM
All Exemplars,0.8623853211009175,0.9483870967741936,1.0,VAE_GMM
All Exemplars,0.9316239316239316,0.9671641791044776,1.0,VAE_GMM
All Exemplars,0.9203703703703704,0.9588235294117646,1.0,VAE_GMM
All Exemplars,0.9251908396946564,0.9486486486486486,0.9888888888888889,VAE_GMM
All Exemplars,0.9217391304347828,0.913846153846154,1.0,VAE_GMM
All Exemplars,0.9388888888888889,0.9493333333333334,1.0,VAE_GMM
All Exemplars,0.95,0.9425531914893617,1.0,VAE_GMM
All Exemplars,0.9509090909090908,0.9264705882352944,1.0,VAE_GMM
All Exemplars,0.9551020408163264,0.9235294117647062,1.0,VAE_GMM
All Exemplars,0.8978260869565219,0.9641025641025642,1.0,VAE_GMM
All Exemplars,0.9559633027522935,0.9558441558441558,0.9842105263157895,VAE_GMM
All Exemplars,0.8,0.967741935483871,1.0,VAE_GMM
All Exemplars,0.949122807017544,0.9717948717948719,0.9875,VAE_GMM
All Exemplars,0.9659574468085108,0.9542857142857143,1.0,VAE_GMM
All Exemplars,0.9535714285714285,0.9698630136986303,0.9833333333333334,VAE_GMM
All Exemplars,0.8059701492537312,0.9706666666666667,1.0,VAE_GMM
